4
10

4							
0	2						
1	1						
2	1						
3	1			

74							
0	9	2	1000000				
1	21	19	2000000				
2	14	19	3000000				
3	2	13	1000000				
4	6	18	2000000				
5	9	10	3000000				
6	4	7	1000000				
7	6	16	2000000				
8	2	10	3000000				
9	12	18	1000000				
10	6	5	1000000				
11	7	8	2000000				
12	19	14	3000000				
13	2	20	1000000				
14	9	15	2000000				
15	1	6	1000000				
16	13	12	2000000				
17	1	12	1000000				
18	7	4	1000000				
19	20	2	1000000				
20	0	2	1000000				
21	8	7	2000000				
22	12	16	1000000				
23	10	2	3000000				
24	5	18	3000000				
25	18	6	2000000				
26	11	21	1000000				
27	15	9	2000000				
28	0	6	1000000				
29	2	0	1000000				
30	1	3	1000000				
31	12	13	2000000				
32	16	12	1000000				
33	4	15	1000000				
34	0	15	1000000				
35	22	16	1000000				
36	18	5	3000000				
37	21	11	1000000				
38	18	12	1000000				
39	13	2	1000000				
40	8	14	1000000				
41	19	16	1000000				
42	2	9	1000000				
43	9	11	1000000				
44	14	8	1000000				
45	10	9	3000000				
46	12	1	1000000				
47	1	17	2000000				
48	15	0	1000000				
49	16	9	1000000				
50	20	6	4000000				
51	5	6	1000000				
52	16	19	1000000				
53	17	20	1000000				
54	9	16	1000000				
55	6	0	1000000				
56	16	6	2000000				
57	15	4	1000000				
58	3	15	3000000				
59	15	3	3000000				
60	1	22	2000000				
61	6	20	4000000				
62	11	9	1000000				
63	22	1	2000000				
64	6	1	1000000				
65	16	22	1000000				
66	20	17	1000000				
67	15	8	2000000				
68	1	11	3000000				
69	8	15	2000000				
70	3	1	1000000				
71	11	1	3000000				
72	19	21	2000000				
73	17	1	2000000		

23							
11	2000000						
12	3000000						
18	4000000						
22	2000000						
7	6000000						
17	3000000						
3	5000000						
0	4000000						
4	7000000						
2	4000000						
9	6000000						
21	5000000						
6	7000000						
1	5000000						
5	3000000						
15	4000000						
13	8000000						
19	4000000						
10	5000000						
8	10000000						
16	3000000						
20	5000000						
14	8000000	

45							
11	12	38403	3	0	2	3	
12	11	63563	4	3	0	2	1
12	18	31916	4	3	0	2	1
18	11	21734	3	2	1	3	
18	12	2205	3	2	1	3	
22	11	411	3	1	2	3	
22	12	518	3	1	2	3	
7	11	413499	2	2	0		
7	12	1484	2	2	0		
17	11	154313	2	1	0		
17	12	362	2	1	0		
3	11	25601	4	3	0	2	1
3	18	14131	4	3	0	2	1
0	11	21662	3	2	1	3	
0	12	4140	3	2	1	3	
4	11	428644	4	3	0	2	1
4	12	5353	4	3	0	2	1
2	11	13665	3	0	2	3	
2	12	5587	3	0	2	3	
9	11	21239	2	2	0		
9	18	5304	2	2	0		
21	11	10839	2	1	0		
21	12	4885	2	1	0		
6	11	12544	3	0	2	3	
6	12	1520	3	0	2	3	
1	11	181299	3	0	2	3	
1	12	13926	3	0	2	3	
5	11	11752	3	2	1	3	
5	12	32	3	2	1	3	
15	11	3720	2	2	0		
15	12	1147	2	2	0		
13	11	28636	2	1	0		
13	12	182	2	1	0		
19	11	11072	2	2	0		
19	12	10358	2	2	0		
10	11	410644	3	2	1	3	
10	12	2856	3	2	1	3	
8	11	538608	2	2	0		
8	12	21093	2	2	0		
16	11	22010	3	1	2	3	
16	12	10779	3	1	2	3	
20	11	24645	3	2	1	3	
20	12	1955	3	2	1	3	
14	11	2345	3	2	1	3	
14	12	349	3	2	1	3			

11	12		10	11																			
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
12	11		11	10																			
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
12	18		11	17																			
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
18	11		17	10																			
23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
