4
12

4																						
0	1																					
1	2																					
2	1																					
3	2																					
																						
72																						
0	0	2	40000																			
1	0	4	40000																			
2	0	9	40000																			
3	0	15	40000																			
4	0	19	40000																			
5	1	6	40000																			
6	1	13	40000																			
7	1	14	40000																			
8	2	6	40000																			
9	2	12	40000																			
10	3	4	40000																			
11	3	16	40000																			
12	3	20	40000																			
13	4	6	40000																			
14	4	7	40000																			
15	4	10	40000																			
16	4	12	40000																			
17	4	14	40000																			
18	4	18	40000																			
19	5	6	40000																			
20	5	12	40000																			
21	5	17	40000																			
22	6	13	40000																			
23	6	21	40000																			
24	7	12	40000																			
25	8	9	40000																			
26	8	19	40000																			
27	9	20	40000																			
28	10	21	40000																			
29	11	12	40000																			
30	11	14	40000																			
31	14	21	40000																			
32	15	21	40000																			
33	16	18	40000																			
34	17	21	40000																			
35	18	21	40000																			
36	2	0	40000																			
37	4	0	40000																			
38	9	0	40000																			
39	15	0	40000																			
40	19	0	40000																			
41	6	1	40000																			
42	13	1	40000																			
43	14	1	40000																			
44	6	2	40000																			
45	12	2	40000																			
46	4	3	40000																			
47	16	3	40000																			
48	20	3	40000																			
49	6	4	40000																			
50	7	4	40000																			
51	10	4	40000																			
52	12	4	40000																			
53	14	4	40000																			
54	18	4	40000																			
55	6	5	40000																			
56	12	5	40000																			
57	17	5	40000																			
58	13	6	40000																			
59	21	6	40000																			
60	12	7	40000																			
61	9	8	40000																			
62	19	8	40000																			
63	20	9	40000																			
64	21	10	40000																			
65	12	11	40000																			
66	14	11	40000																			
67	21	14	40000																			
68	21	15	40000																			
69	18	16	40000																			
70	21	17	40000																			
71	21	18	40000																			
																						
22																						
0	2000000																					
1	2000000																					
2	4000000																					
3	2000000																					
4	7000000																					
5	3000000																					
6	2000000																					
7	5000000																					
8	2000000																					
9	2000000																					
10	7000000																					
11	5000000																					
12	2000000																					
13	4000000																					
14	2000000																					
15	2000000																					
16	1000000																					
17	2000000																					
18	8000000																					
19	3000000																					
20	1000000																					
21	2000000																					
																						
250																						
15	11	3003	2	1	0																	
4	10	134	2	1	0																	
3	15	13138	2	3	0																	
8	3	135	2	1	0																	
13	3	14	2	1	0																	
4	8	4138	2	3	2																	
19	10	38	2	1	0																	
4	11	3211	2	1	0																	
15	14	535	2	1	2																	
15	18	5156	2	1	0																	
4	6	1205	2	1	0																	
1	0	46267	2	3	0																	
0	12	2033	2	1	2																	
19	16	269	2	1	0																	
2	3	7069	2	1	0																	
3	5	556	2	1	0																	
19	21	1294	2	1	0																	
12	17	1786	2	1	0																	
14	11	578	2	1	0																	
7	12	102	2	1	0																	
12	18	8485	2	1	0																	
12	3	160	2	1	0																	
0	14	725	2	1	0																	
16	1	710	2	1	0																	
1	21	34415	2	1	0																	
6	15	8677	2	1	0																	
15	9	1753	2	1	0																	
18	11	156	2	1	0																	
13	14	35	2	1	0																	
6	7	1179	2	1	0																	
11	21	779	2	1	0																	
2	19	2304	2	1	0																	
5	8	822	2	1	0																	
13	12	13	2	1	0																	
4	16	4172	2	1	0																	
4	15	3406	2	1	0																	
16	5	653	2	1	0																	
0	7	8167	2	3	0																	
12	6	2343	2	1	0																	
6	11	136	2	1	0																	
5	6	856	2	3	0																	
14	20	1067	2	1	0																	
11	14	85	2	1	0																	
13	18	538	2	1	0																	
11	8	14	2	1	0																	
13	10	35	2	3	0																	
7	13	8	2	1	0																	
1	16	10180	2	1	0																	
9	4	13369	2	1	0																	
17	16	42	2	1	0																	
